'NPR','https://www.npr.org//streams//mp3//nprlive24.m3u'
'top40','http://icy.ihrcast.arn.com.au/1065.mp3'
'jazz','http://eastsidestreamer.myradio.click:8000/stream'
'classical','http://eno.emit.com:8000/2mbs_live_128.mp3'
'kiss FM','http://c2icy.prod.playlists.ihrhls.com/185_icy'
'cebu','http://icecast.eradioportal.com:8000/rxcebu'
'Radio Hamburg','http://stream.radiohamburg.de/koffeinkick/mp3-128'
'German Techno',' http://listen.pioneerdjradio.com:8550/'
'French Caribbean','http://intertropical.vestaradio.com/listen.pls'
'Hawaiian','http://s3.voscast.com:8662/'
'Nigerian','http://listen.radionomy.com/rnbhitsradio-afrobeatsnaija1'
'Russian Dance','http://air2.radiorecord.ru:805/rr_320'
'BBC World','http://bbcwssc.ic.llnwd.net/stream/bbcwssc_mp1_ws-eieuk'
'KCRW Eclectic','http://www.kcrw.com/pls/kcrwmusic.pls'
